"Overall Rank (1=Best)","City","State","Overall Score","Running Access Rank","Running Quality Rank","Foot Care Rank","Affordability Rank","Community Rank","Safety Rank","Climate Rank"
"180","Wichita","KS","27.70","140","189","157","146","56","113","185"
"181","McAllen","TX","27.19","179","197","144","51","147","50","101"
"182","Thornton","CO","27.10","109","176","190","168","156","93","187"
"183","Pembroke Pines","FL","27.03","184","199","119","34","193","23","85"
"184","North Las Vegas","NV","26.83","121","191","198","10","193","19","176"
"185","Cape Coral","FL","26.80","196","195","181","62","156","7","137"
"186","Detroit","MI","26.79","111","159","129","198","80","193","140"
"187","Grand Prairie","TX","26.66","167","180","199","14","165","28","161"
"188","Mesquite","TX","26.50","173","168","183","13","177","90","161"
"189","Baton Rouge","LA","26.48","123","172","39","176","94","196","183"
"190","Clarksville","TN","26.10","190","177","185","160","152","89","120"
"191","Amarillo","TX","26.00","181","185","139","131","153","110","144"
"192","West Valley City","UT","25.54","171","190","186","8","193","59","150"
"193","Ontario","CA","25.30","185","194","108","12","168","127","51"
"194","Montgomery","AL","24.65","191","193","91","94","123","143","148"
"195","Kansas City","KS","24.39","178","187","149","169","143","170","157"
"196","Pasadena","TX","24.27","162","188","172","18","193","81","191"
"197","Surprise","AZ","22.71","199","200","173","24","144","18","200"
"198","Killeen","TX","22.16","200","196","197","150","156","124","105"
"199","Jackson","MS","21.80","186","192","29","199","131","188","180"
"200","Macon","GA","21.17","197","198","81","185","107","200","102"
